name,postcode,tel,age,income
Aaron,SW1 8AS,633585899,23,480000
Alfred,W82 7DF ,219067924,21,600000
Alfredo,L1 XA5,219067924,35,216000
Barry,SW1 8AS,219067924,44,960000
Bob,L1 8SG,219067924,40,288000
Claire,SW1 X32,219067924,40,912000
Daniel ,L1 0DN,219067924,24,150000
Danielle,NW6B 2EL,219067924,36,480000
Emil,B1 3SB,219067924,31,120000
Emily,W14 DE3,219067924,30,960000
Fred,NW6T 46H,219067924,26,312000
Frederica,B1 1SB,219067924,46,180000
George,LE1 2ZX,219067924,53,156000
Georgina,SW3 7F7,219067924,23,396000
Helen,LE1 1FN,219067924,33,78000
Henrik,SW3 A4F,219067924,65,1056000
Janet,S1 P7Z,219067924,36,54000
Jonathan,W8D 2R9,219067924,36,1680000
Kieran,S1 H7V,219067924,26,38400
Konstantin,W1S GS7,219067924,34,480000
Larry,HU1 1ER,219067924,40,56400
Lars,SW1V ERX,219067924,36,792000
Liam,HU1 S9X,219067924,30,39600
Lucas,SW1 TEF,219067924,55,1140000
Luis,PL1 1LS,219067924,24,22800
Marcus,NW8 42C,219067924,45,600000
Martin,PL1 1RB,219067924,36,42000
Mike,SW13 TES,219067924,44,912000
Nathan,PL1 1LB,219067924,44,52800
Nicholas,NW8 6SX,219067924,21,276000
Ognyan,ST1 GTC,219067924,49,42000
Oscar,NW3 W3F,219067924,35,480000
Paul,ST1 4JV,219067924,35,27600
Peter,LS24 9EB,219067924,18,288000
Petrus,DY3 8x8,219067924,45,22200
Roberto,W11 55D,219067924,44,780000
Robertondo,DY3 h6x,219067924,35,15600
Rositsa,W11 5G5,219067924,35,533280
Simon,SA1 945,219067924,35,21600
Simona,W1Y 2J3,219067924,38,480000
Sophie,SA1 6GD,219067924,30,16800
Steven,W7 3R3,219067924,23,1620000
Stuart,SR2 5H9,219067924,45,81600
Thomas,SR1 EBN,219067924,35,54000
Thomasso,SW13 t32,219067924,38,768000
Vicky,W7 3R3,219067924,30,2400000
Victor,DH8 ZZ4,219067924,24,10800
William,SW13 h82,219067924,28,516000
Zoey,DH1 I4D,219067924,30,13800
Daniel Jameson,SW4 2FF,7186028990,66,653954
Vanessa Smith,ST3 2QA,7444585789,51,21404
Peter Sterling,SR3 2DS,7872780937,28,34645
John Sturridge,NW3 7HU,7727799283,49,220674
Ana Sterling,S3 6WD,7158971679,71,47674
Sophie Rodriguez,LE3 1ST,7233865070,37,47916
